iter	Passed	Remaining
0	25	5067
1	49	4897
2	73	4848
3	98	4811
4	122	4767
5	146	4748
6	172	4750
7	196	4723
8	221	4692
9	246	4677
10	270	4650
11	294	4614
12	318	4577
13	342	4547
14	369	4552
15	394	4537
16	419	4519
17	444	4492
18	470	4482
19	496	4464
20	521	4447
21	547	4433
22	572	4408
23	600	4406
24	626	4383
25	650	4350
26	675	4328
27	699	4299
28	724	4272
29	749	4244
30	772	4208
31	796	4179
32	819	4147
33	845	4129
34	870	4104
35	893	4071
36	917	4042
37	940	4009
38	965	3984
39	988	3954
40	1009	3916
41	1032	3884
42	1054	3851
43	1077	3819
44	1100	3790
45	1123	3760
46	1154	3759
47	1177	3728
48	1200	3698
49	1222	3666
50	1244	3635
51	1266	3605
52	1289	3575
53	1315	3556
54	1348	3555
55	1373	3531
56	1395	3502
57	1417	3471
58	1440	3442
59	1462	3413
60	1485	3385
61	1508	3357
62	1529	3326
63	1551	3297
64	1573	3268
65	1597	3243
66	1620	3217
67	1644	3191
68	1666	3163
69	1685	3129
70	1706	3100
71	1729	3074
72	1749	3043
73	1772	3018
74	1796	2994
75	1818	2967
76	1842	2943
77	1863	2915
78	1886	2889
79	1907	2861
80	1926	2830
81	1946	2801
82	1967	2773
83	1991	2750
84	2013	2723
85	2035	2698
86	2057	2672
87	2082	2650
88	2103	2623
89	2124	2597
90	2146	2570
91	2174	2552
92	2197	2528
93	2219	2503
94	2238	2474
95	2261	2450
96	2284	2425
97	2305	2399
98	2330	2377
99	2352	2352
100	2374	2327
101	2399	2305
102	2419	2278
103	2440	2253
104	2460	2225
105	2482	2201
106	2509	2181
107	2534	2158
108	2554	2132
109	2577	2108
110	2599	2084
111	2622	2060
112	2641	2033
113	2659	2006
114	2678	1979
115	2695	1951
116	2712	1924
117	2735	1900
118	2760	1878
119	2783	1855
120	2805	1831
121	2825	1806
122	2847	1782
123	2870	1759
124	2892	1735
125	2914	1711
126	2932	1685
127	2954	1662
128	2979	1639
129	2999	1615
130	3019	1590
131	3042	1567
132	3059	1541
133	3077	1515
134	3102	1493
135	3122	1469
136	3141	1444
137	3166	1422
138	3186	1398
139	3207	1374
140	3227	1350
141	3251	1328
142	3271	1303
143	3291	1280
144	3311	1255
145	3332	1232
146	3355	1209
147	3379	1187
148	3397	1162
149	3416	1138
150	3436	1115
151	3454	1091
152	3471	1066
153	3495	1044
154	3517	1021
155	3542	999
156	3560	975
157	3580	951
158	3604	929
159	3626	906
160	3645	883
161	3663	859
162	3685	836
163	3706	813
164	3727	790
165	3746	767
166	3772	745
167	3792	722
168	3813	699
169	3838	677
170	3858	654
171	3878	631
172	3903	609
173	3928	586
174	3947	563
175	3969	541
176	3992	518
177	4013	496
178	4033	473
179	4052	450
180	4074	427
181	4097	405
182	4119	382
183	4141	360
184	4164	337
185	4186	315
186	4209	292
187	4228	269
188	4247	247
189	4271	224
190	4293	202
191	4317	179
192	4339	157
193	4357	134
194	4383	112
195	4406	89
196	4430	67
197	4454	44
198	4473	22
199	4497	0
